# darshan log version: 3.21
# compression method: ZLIB
# exe: ./C_scripts/file_iter_l_name train64_0.h5 0 
# uid: 21512
# jobid: 3480824
# start_time: 1667454937
# start_time_asci: Thu Nov  3 00:55:37 2022
# end_time: 1667454937
# end_time_asci: Thu Nov  3 00:55:37 2022
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 327 bytes (compressed)
# record table: 145 bytes (compressed)
# POSIX module: 161 bytes (compressed), ver=4
# STDIO module: 51 bytes (compressed), ver=2
# DXT_POSIX module: 13638 bytes (compressed), ver=1
# HEATMAP module: 65 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/homes/zhd1108	xfs
# mount entry:	/homes/yll6162	xfs
# mount entry:	/homes/wkliao	xfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/vol/cucis	xfs
# mount entry:	/boot/efi	vfat
# mount entry:	/files4	xfs
# mount entry:	/files7	xfs
# mount entry:	/files1	xfs
# mount entry:	/files5	xfs
# mount entry:	/files3	xfs
# mount entry:	/files2	xfs
# mount entry:	/files8	xfs
# mount entry:	/files6	xfs
# mount entry:	/homes	autofs
# mount entry:	/boot	xfs
# mount entry:	/misc	autofs
# mount entry:	/meas	autofs
# mount entry:	/dev	devtmpfs
# mount entry:	/usr	xfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/net	autofs
# mount entry:	/vol	autofs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 12316929884430929403, file_name: /homes/yll6162/project_metadata/train64_0.h5
# DXT, rank: 0, hostname: acfs.ece.northwestern.edu
# DXT, write_count: 0, read_count: 1494
# DXT, mnt_pt: /homes/yll6162, fs_type: xfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read       71          628068             512      0.0012      0.0012
 X_POSIX       0   read       72          630252             512      0.0012      0.0012
 X_POSIX       0   read       73          632436             512      0.0012      0.0012
 X_POSIX       0   read       74          634948             512      0.0012      0.0012
 X_POSIX       0   read       75          637484             512      0.0012      0.0012
 X_POSIX       0   read       76          639668             512      0.0012      0.0012
 X_POSIX       0   read       77          639804             512      0.0012      0.0012
 X_POSIX       0   read       78          639844             544      0.0012      0.0012
 X_POSIX       0   read       79          640388             512      0.0012      0.0012
 X_POSIX       0   read       80          756420             352      0.0012      0.0012
 X_POSIX       0   read       81          647316             328      0.0012      0.0012
 X_POSIX       0   read       82          647164             512      0.0012      0.0012
 X_POSIX       0   read       83          653564             512      0.0012      0.0012
 X_POSIX       0   read       84          659924             512      0.0012      0.0012
 X_POSIX       0   read       85          687052             512      0.0012      0.0012
 X_POSIX       0   read       86          737100             328      0.0012      0.0012
 X_POSIX       0   read       87          696036             512      0.0012      0.0012
 X_POSIX       0   read       88          720604             512      0.0013      0.0013
 X_POSIX       0   read       89          722980             512      0.0013      0.0013
 X_POSIX       0   read       90          733360             512      0.0013      0.0013
 X_POSIX       0   read       91          753676             328      0.0013      0.0013
 X_POSIX       0   read       92          736940             512      0.0013      0.0013
 X_POSIX       0   read       93          746716             512      0.0013      0.0013
 X_POSIX       0   read       94          749156             512      0.0013      0.0013
 X_POSIX       0   read       95          751340             512      0.0013      0.0013
 X_POSIX       0   read       96          753540             512      0.0013      0.0013
 X_POSIX       0   read       97          756284             512      0.0013      0.0013
 X_POSIX       0   read       98          758820             512      0.0013      0.0013
 X_POSIX       0   read       99          761020             512      0.0013      0.0013
 X_POSIX       0   read      100         1200768             328      0.0013      0.0013
 X_POSIX       0   read      101          761156             512      0.0013      0.0013
 X_POSIX       0   read      102          761196             544      0.0013      0.0013
 X_POSIX       0   read      103          761740             512      0.0013      0.0013
 X_POSIX       0   read      104          804956             352      0.0013      0.0013
 X_POSIX       0   read      105          764060             328      0.0013      0.0013
 X_POSIX       0   read      106          763908             512      0.0013      0.0013
 X_POSIX       0   read      107          766436             512      0.0013      0.0013
 X_POSIX       0   read      108          768636             512      0.0013      0.0013
 X_POSIX       0   read      109          775124             512      0.0013      0.0013
