# darshan log version: 3.21
# compression method: ZLIB
# exe: ./C_scripts/file_iter_l_name train64_2048.h5 2048 
# uid: 21512
# jobid: 2709727
# start_time: 1670637532
# start_time_asci: Fri Dec  9 19:58:52 2022
# end_time: 1670637532
# end_time_asci: Fri Dec  9 19:58:52 2022
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 334 bytes (compressed)
# record table: 159 bytes (compressed)
# POSIX module: 155 bytes (compressed), ver=4
# STDIO module: 51 bytes (compressed), ver=2
# DXT_POSIX module: 13461 bytes (compressed), ver=1
# HEATMAP module: 78 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/homes/zhd1108	xfs
# mount entry:	/homes/yll6162	xfs
# mount entry:	/homes/wkliao	xfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/vol/cucis	xfs
# mount entry:	/boot/efi	vfat
# mount entry:	/files4	xfs
# mount entry:	/files7	xfs
# mount entry:	/files1	xfs
# mount entry:	/files5	xfs
# mount entry:	/files3	xfs
# mount entry:	/files2	xfs
# mount entry:	/files8	xfs
# mount entry:	/files6	xfs
# mount entry:	/homes	autofs
# mount entry:	/boot	xfs
# mount entry:	/misc	autofs
# mount entry:	/meas	autofs
# mount entry:	/dev	devtmpfs
# mount entry:	/usr	xfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/net	autofs
# mount entry:	/vol	autofs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 1291231226982835109, file_name: /homes/yll6162/project_metadata/project_hdf_block/train64_2048.h5
# DXT, rank: 0, hostname: acfs.ece.northwestern.edu
# DXT, write_count: 0, read_count: 1494
# DXT, mnt_pt: /homes/yll6162, fs_type: xfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read       70          606932             512      0.0011      0.0011
 X_POSIX       0   read       71          607092             512      0.0011      0.0011
 X_POSIX       0   read       72          607228             512      0.0011      0.0011
 X_POSIX       0   read       73          607364             512      0.0011      0.0011
 X_POSIX       0   read       74          607828             512      0.0012      0.0012
 X_POSIX       0   read       75          606108             512      0.0012      0.0012
 X_POSIX       0   read       76          607964             512      0.0012      0.0012
 X_POSIX       0   read       77          530724             512      0.0012      0.0012
 X_POSIX       0   read       78          624396             544      0.0012      0.0012
 X_POSIX       0   read       79          624940             512      0.0012      0.0012
 X_POSIX       0   read       80          737044             352      0.0012      0.0012
 X_POSIX       0   read       81          625212             328      0.0012      0.0012
 X_POSIX       0   read       82          625060             512      0.0012      0.0012
 X_POSIX       0   read       83          625540             512      0.0012      0.0012
 X_POSIX       0   read       84          625692             512      0.0012      0.0012
 X_POSIX       0   read       85          625844             512      0.0012      0.0012
 X_POSIX       0   read       86          683092             328      0.0012      0.0012
 X_POSIX       0   read       87          682172             512      0.0012      0.0012
 X_POSIX       0   read       88          682324             512      0.0012      0.0012
 X_POSIX       0   read       89          682652             512      0.0012      0.0012
 X_POSIX       0   read       90          682772             512      0.0012      0.0012
 X_POSIX       0   read       91          736716             328      0.0012      0.0012
 X_POSIX       0   read       92          682932             512      0.0012      0.0012
 X_POSIX       0   read       93          683420             512      0.0012      0.0012
 X_POSIX       0   read       94          683580             512      0.0012      0.0012
 X_POSIX       0   read       95          683716             512      0.0012      0.0012
 X_POSIX       0   read       96          683852             512      0.0012      0.0012
 X_POSIX       0   read       97          683988             512      0.0012      0.0012
 X_POSIX       0   read       98          682476             512      0.0012      0.0012
 X_POSIX       0   read       99          737396             512      0.0013      0.0013
 X_POSIX       0   read      100         1146092             328      0.0013      0.0013
 X_POSIX       0   read      101          606244             512      0.0013      0.0013
 X_POSIX       0   read      102          737532             544      0.0013      0.0013
 X_POSIX       0   read      103          738076             512      0.0013      0.0013
 X_POSIX       0   read      104          775752             352      0.0013      0.0013
 X_POSIX       0   read      105          738348             328      0.0013      0.0013
 X_POSIX       0   read      106          738196             512      0.0013      0.0013
 X_POSIX       0   read      107          747116             512      0.0013      0.0013
 X_POSIX       0   read      108          747268             512      0.0013      0.0013
 X_POSIX       0   read      109          747420             512      0.0013      0.0013
 X_POSIX       0   read      110          748492             328      0.0013      0.0013
 X_POSIX       0   read      111          747572             512      0.0013      0.0013
 X_POSIX       0   read      112          747724             512      0.0013      0.0013
 X_POSIX       0   read      113          748052             512      0.0013      0.0013
 X_POSIX       0   read      114          748172             512      0.0013      0.0013
 X_POSIX       0   read      115          775288             328      0.0013      0.0013
 X_POSIX       0   read      116          748332             512      0.0013      0.0013
 X_POSIX       0   read      117          748820             512      0.0013      0.0013
 X_POSIX       0   read      118          748980             512      0.0013      0.0013
 X_POSIX       0   read      119          775016             512      0.0013      0.0013
 X_POSIX       0   read      120          775152             512      0.0013      0.0013
 X_POSIX       0   read      121          775616             512      0.0013      0.0013
 X_POSIX       0   read      122          747876             512      0.0013      0.0013
 X_POSIX       0   read      123          776104             512      0.0013      0.0013
 X_POSIX       0   read      124          682612             512      0.0013      0.0013
 X_POSIX       0   read      125          776240             544      0.0013      0.0013
 X_POSIX       0   read      126          776784             512      0.0013      0.0013
 X_POSIX       0   read      127          811900             352      0.0014      0.0014
 X_POSIX       0   read      128          780568             328      0.0014      0.0014
 X_POSIX       0   read      129          776904             512      0.0014      0.0014
 X_POSIX       0   read      130          780896             512      0.0014      0.0014
 X_POSIX       0   read      131          781048             512      0.0014      0.0014
 X_POSIX       0   read      132          781200             512      0.0014      0.0014
 X_POSIX       0   read      133          782272             328      0.0014      0.0014
 X_POSIX       0   read      134          781352             512      0.0014      0.0014
 X_POSIX       0   read      135          781504             512      0.0014      0.0014
 X_POSIX       0   read      136          781832             512      0.0014      0.0014
 X_POSIX       0   read      137          781952             512      0.0014      0.0014
 X_POSIX       0   read      138          811436             328      0.0014      0.0014
 X_POSIX       0   read      139          782112             512      0.0014      0.0014
 X_POSIX       0   read      140          810868             512      0.0014      0.0014
 X_POSIX       0   read      141          811028             512      0.0014      0.0014
 X_POSIX       0   read      142          811164             512      0.0014      0.0014
 X_POSIX       0   read      143          811300             512      0.0014      0.0014
 X_POSIX       0   read      144          811764             512      0.0014      0.0014
 X_POSIX       0   read      145          781656             512      0.0014      0.0014
 X_POSIX       0   read      146          812252             512      0.0014      0.0014
 X_POSIX       0   read      147          748012             512      0.0014      0.0014
 X_POSIX       0   read      148          816068             544      0.0014      0.0014
 X_POSIX       0   read      149          812388             512      0.0014      0.0014
 X_POSIX       0   read      150         1003216             352      0.0014      0.0014
 X_POSIX       0   read      151          816612             328      0.0014      0.0014
 X_POSIX       0   read      152          812508             512      0.0014      0.0014
 X_POSIX       0   read      153          812660             512      0.0015      0.0015
 X_POSIX       0   read      154          816940             512      0.0015      0.0015
 X_POSIX       0   read      155          817092             512      0.0015      0.0015
 X_POSIX       0   read      156         1001856             328      0.0015      0.0015
 X_POSIX       0   read      157          817244             512      0.0015      0.0015
 X_POSIX       0   read      158          817396             512      0.0015      0.0015
 X_POSIX       0   read      159          817724             512      0.0015      0.0015
 X_POSIX       0   read      160          817844             512      0.0015      0.0015
 X_POSIX       0   read      161         1002752             328      0.0015      0.0015
 X_POSIX       0   read      162         1001696             512      0.0015      0.0015
 X_POSIX       0   read      163         1002184             512      0.0015      0.0015
 X_POSIX       0   read      164         1002344             512      0.0015      0.0015
 X_POSIX       0   read      165         1002480             512      0.0015      0.0015
 X_POSIX       0   read      166         1002616             512      0.0015      0.0015
 X_POSIX       0   read      167         1003080             512      0.0015      0.0015
 X_POSIX       0   read      168          817548             512      0.0015      0.0015
 X_POSIX       0   read      169         1003568             512      0.0015      0.0015
 X_POSIX       0   read      170          781792             512      0.0015      0.0015
 X_POSIX       0   read      171         1026828             544      0.0015      0.0015
 X_POSIX       0   read      172         1027372             512      0.0015      0.0015
 X_POSIX       0   read      173         1144900             352      0.0015      0.0015
 X_POSIX       0   read      174         1027644             328      0.0015      0.0015
 X_POSIX       0   read      175         1027492             512      0.0015      0.0015
 X_POSIX       0   read      176         1027972             512      0.0015      0.0015
 X_POSIX       0   read      177         1028124             512      0.0015      0.0015
 X_POSIX       0   read      178         1028276             512      0.0015      0.0015
 X_POSIX       0   read      179         1111804             328      0.0015      0.0016
 X_POSIX       0   read      180         1028428             512      0.0016      0.0016
 X_POSIX       0   read      181         1028580             512      0.0016      0.0016
 X_POSIX       0   read      182         1028732             512      0.0016      0.0016
 X_POSIX       0   read      183         1111484             512      0.0016      0.0016
